Unnamed: 0,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
30,Pyramimonas,,Pyramimonas,,,,,World Register of Marine Species,134529,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
31,Dictyocha,,Dictyocha,,,,,World Register of Marine Species,157258,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
32,Apedinella,,Apedinella,,,,,World Register of Marine Species,248096,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
33,flagellate,,,,,,,,urn:lsid:algaebase.org:taxname:86701,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,AlgaeBase,Eukaryota
34,Calciosolenia brasiliensis,,,species,Calciosolenia brasiliensis,Haptophyta,369190.0,World Register of Marine Species,555889,worrms,,,,False,False,False,,
35,Dactyliosolen blavyanus,,Dactyliosolen blavyanus,,,,,World Register of Marine Species,179786,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
36,Ceratium,,Ceratium,,,,,World Register of Marine Species,109506,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
37,Thalassionema,,Thalassionema,,,,,World Register of Marine Species,149092,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
38,Cerataulina pelagica,,Cerataulina pelagica,,,,,World Register of Marine Species,149619,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
39,Prorocentrum,,Prorocentrum,,,,,World Register of Marine Species,109566,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
40,Corymbellus,,Corymbellus,,,,,World Register of Marine Species,162518,worrms,species,Haptophyta,369190.0,False,False,False,,
41,Tintinnida,,Tintinnida,,,,,World Register of Marine Species,425497,worrms,order,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
42,Guinardia striata,,Guinardia striata,,,,,World Register of Marine Species,149113,taxize,species,Bacillariophyceae,148899.0,False,False,False,,
43,Heterocapsa rotundata,,Heterocapsa rotundata,,,,,World Register of Marine Species,110152,worrms,species,Dinoflagellata,146203.0,False,False,False,NCBI,Heterocapsa rotundata
44,Coscinodiscus,,Coscinodiscus,,,,,World Register of Marine Species,148917,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
45,Asterionellopsis glacialis,,Asterionellopsis glacialis,,,,,World Register of Marine Species,149139,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
46,bubble,,,,,,,,-999999,,,,,False,False,False,OCB,bubble
47,Laboea strobila,,Laboea strobila,,,,,World Register of Marine Species,101264,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
48,Stenosemella morphotype1,,Stenosemella,,,,,World Register of Marine Species,178825,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
49,Protoperidinium,,Protoperidinium,,,,,World Register of Marine Species,109553,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
50,flagellate morphotype3,,,,,,,,,,,,,False,False,False,,
51,Emiliania huxleyi,,Emiliania huxleyi,,,,,World Register of Marine Species,115104,worrms,species,Haptophyta,369190.0,False,False,False,NCBI,Emiliania huxleyi
52,Stephanopyxis,,Stephanopyxis,,,,,World Register of Marine Species,149630,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
53,Bacteriastrum,,Bacteriastrum,,,,,World Register of Marine Species,149118,worrms,genus,Bacillariophyceae,148899.0,False,False,False,,
54,Mesodinium,,Mesodinium,,,,,World Register of Marine Species,179320,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
55,Dinophysis,,Dinophysis,,,,,World Register of Marine Species,109462,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
56,Leptocylindrus mediterraneus,,Leptocylindrus mediterraneus,,,,,World Register of Marine Species,149230,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
57,Calciopappus,,Calciopappus,,,,,World Register of Marine Species,235858,worrms,species,Haptophyta,369190.0,False,False,False,,
58,square unknown,,,,,,,,urn:lsid:algaebase.org:taxname:86701,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,AlgaeBase,Eukaryota
59,Ophiaster,,Ophiaster,,,,,World Register of Marine Species,115081,worrms,genus,Haptophyta,369190.0,False,False,False,,
60,amoeba,,Amoeba,,,,,World Register of Marine Species,120533,taxize,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
61,Ephemera,,Ephemera,,,,,World Register of Marine Species,291403,taxize,genus,Bacillariophyceae,148899.0,False,False,False,,
62,Acanthoica quattrospina,,,species,Acanthoica quattrospina,Haptophyta,369190.0,World Register of Marine Species,235802,worrms,,,,False,False,False,,
63,Chaetoceros debilis,,Chaetoceros debilis,,,,,World Register of Marine Species,149219,taxize,species,Bacillariophyceae,148899.0,False,False,False,,
64,Lauderia annulata,,Lauderia annulata,,,,,World Register of Marine Species,149135,worrms,species,Bacillariophyceae,148899.0,False,False,False,,
65,zooplankton,,,,,,,,,,,,,False,False,False,,
66,Oxytoxum,,Oxytoxum,,,,,World Register of Marine Species,109528,worrms,genus,Dinoflagellata,146203.0,False,False,False,,
67,fecal pellet,,,,,,,,-999999,,,,,False,False,False,OCB,fecal pellet
