"","X","id","name","international_id","resolved_names","taxon_level_fromid","taxon_name_fromid","higher_order_fromid","higher_order_id","data_source","resolved_id_fromgnr","taxon_function","resolved_taxon_level_fromgnr","resolved_higher_order_fromgnr","resolved_higher_order_id","name_match","id_match","higher_match","alt_datasource","alt_resolved_name","AphiaID","Match.type","LSID","ScientificName","Taxon.status","AphiaID_accepted","ScientificName_accepted","matchIDs","status_char","scientificName_HumanObservation","scientificNameID_HumanObservation"
"12",92,98,"Balanion",292899,"Balanion","genus","Balanion","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","292899","worrms","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,292899,"exact","urn:lsid:marinespecies.org:taxname:292899","Balanion","accepted",292899,"Balanion",TRUE,"accepted","Balanion","urn:lsid:marinespecies.org:taxname:292899"
"13",74,92,"bead",NA,NA,NA,NA,NA,NA,NA,"-999999",NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,"OCB","bead",NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
"14",89,76,"Biddulphia",148967,"Biddulphia","genus","Biddulphia","Bacillariophyceae",148899,"World Register of Marine Species","148967","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,148967,"exact","urn:lsid:marinespecies.org:taxname:148967","Biddulphia","accepted",148967,"Biddulphia",TRUE,"accepted","Biddulphia","urn:lsid:marinespecies.org:taxname:148967"
"15",75,93,"bubble",NA,NA,NA,NA,NA,NA,NA,"-999999",NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,"OCB","bubble",NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
"16",99,89,"Calciopappus",235858,"Calciopappus","genus","Calciopappus","Haptophyta",369190,"World Register of Marine Species","235858","worrms","species","Haptophyta",369190,TRUE,TRUE,TRUE,NA,NA,235858,"exact","urn:lsid:marinespecies.org:taxname:235858","Calciopappus","accepted",235858,"Calciopappus",TRUE,"accepted","Calciopappus","urn:lsid:marinespecies.org:taxname:235858"
"17",124,NA,"Calciosolenia brasiliensis",NA,NA,"species","Calciosolenia brasiliensis","Haptophyta",369190,"World Register of Marine Species","555889","worrms",NA,"Haptophyta",NA,FALSE,FALSE,FALSE,NA,NA,NA,"","","","",NA,"",NA,"","Calciosolenia brasiliensis","urn:lsid:marinespecies.org:taxname:555889"
"18",77,97,"camera spot",NA,NA,NA,NA,NA,NA,NA,"-999999",NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,"OCB","camera spot",NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
"19",37,41,"Cerataulina pelagica",149619,"Cerataulina pelagica","species","Cerataulina pelagica","Bacillariophyceae",148899,"World Register of Marine Species","149619","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149619,"exact","urn:lsid:marinespecies.org:taxname:149619","Cerataulina pelagica","alternate representation",961694,"Cerataulina bergonii",FALSE,"alternate representation","Cerataulina pelagica","urn:lsid:marinespecies.org:taxname:149619"
"20",2,2,"Ceratium",109506,"Ceratium","genus","Ceratium","Dinoflagellata",146203,"World Register of Marine Species","109506","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109506,"exact","urn:lsid:marinespecies.org:taxname:109506","Ceratium","accepted",109506,"Ceratium",TRUE,"accepted","Ceratium","urn:lsid:marinespecies.org:taxname:109506"
"21",3,3,"Chaetoceros",148985,"Chaetoceros","genus","Chaetoceros","Bacillariophyceae",148899,"World Register of Marine Species","148985","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,148985,"exact","urn:lsid:marinespecies.org:taxname:148985","Chaetoceros","accepted",148985,"Chaetoceros",TRUE,"accepted","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"22",120,123,"Chaetoceros concavicornis",156607,"Chaetoceros concavicornis","species","Chaetoceros concavicornis","Bacillariophyceae",148899,"World Register of Marine Species","156607","taxize","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,156607,"exact","urn:lsid:marinespecies.org:taxname:156607","Chaetoceros concavicornis","accepted",156607,"Chaetoceros concavicornis",TRUE,"accepted","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"23",116,119,"Chaetoceros curvusetus",149221,"Chaetoceros curvisetus","species","Chaetoceros curvisetus","Bacillariophyceae",148899,"World Register of Marine Species","149221","taxize","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,961769,"exact","urn:lsid:marinespecies.org:taxname:961769","Chaetoceros curvisetus","uncertain",961769,"Chaetoceros curvisetus",FALSE,"uncertain","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"24",119,122,"Chaetoceros danicus",149120,"Chaetoceros danicus","species","Chaetoceros danicus","Bacillariophyceae",148899,"World Register of Marine Species","149120","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149120,"exact","urn:lsid:marinespecies.org:taxname:149120","Chaetoceros danicus","uncertain",149120,"Chaetoceros danicus",TRUE,"uncertain","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"25",115,118,"Chaetoceros debilis",NA,"Chaetoceros debilis",NA,NA,NA,NA,"World Register of Marine Species","149219","taxize","species","Bacillariophyceae",148899,FALSE,FALSE,FALSE,NA,NA,961758,"exact","urn:lsid:marinespecies.org:taxname:961758","Chaetoceros debilis","uncertain",961758,"Chaetoceros debilis",FALSE,"uncertain","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"26",44,49,"Chaetoceros didymus",149122,"Chaetoceros didymus","species","Chaetoceros didymus","Bacillariophyceae",148899,"World Register of Marine Species","149122","taxize","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,961776,"exact","urn:lsid:marinespecies.org:taxname:961776","Chaetoceros didymus","uncertain",961776,"Chaetoceros didymus",FALSE,"uncertain","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"27",114,117,"Chaetoceros peruvianis",NA,"Chaetoceros peruvianus",NA,NA,NA,NA,"World Register of Marine Species","178185","taxize","species","Bacillariophyceae",148899,FALSE,FALSE,FALSE,NA,NA,961865,"exact","urn:lsid:marinespecies.org:taxname:961865","Chaetoceros peruvianus","uncertain",961865,"Chaetoceros peruvianus",FALSE,"uncertain","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"28",117,120,"Chaetoceros socialis",149123,"Chaetoceros socialis","species","Chaetoceros socialis","Bacillariophyceae",148899,"World Register of Marine Species","149123","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149123,"exact","urn:lsid:marinespecies.org:taxname:149123","Chaetoceros socialis","accepted",149123,"Chaetoceros socialis",TRUE,"accepted","Chaetoceros socialis","urn:lsid:marinespecies.org:taxname:149123"
"29",118,121,"Chaetoceros subtilis",156621,"Chaetoceros subtilis","species","Chaetoceros subtilis","Bacillariophyceae",148899,"World Register of Marine Species","156621","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,156621,"exact","urn:lsid:marinespecies.org:taxname:156621","Chaetoceros subtilis","accepted",156621,"Chaetoceros subtilis",TRUE,"accepted","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985"
"30",64,78,"Chrysochromulina",115090,"Chrysochromulina","genus","Chrysochromulina","Haptophyta",369190,"World Register of Marine Species","115090","worrms","genus","Haptophyta",369190,TRUE,TRUE,TRUE,NA,NA,115090,"exact","urn:lsid:marinespecies.org:taxname:115090","Chrysochromulina","accepted",115090,"Chrysochromulina",TRUE,"accepted","Chrysochromulina","urn:lsid:marinespecies.org:taxname:115090"
"31",80,32,"Chrysochromulina lanceolata",388470,"Chrysochromulina lanceolata","species","Chrysochromulina lanceolata","Haptophyta",369190,"World Register of Marine Species","388470","worrms","species","Haptophyta",369190,TRUE,TRUE,TRUE,NA,NA,388470,"exact","urn:lsid:marinespecies.org:taxname:388470","Chrysochromulina lanceolata","accepted",388470,"Chrysochromulina lanceolata",TRUE,"accepted","Chrysochromulina lanceolata","urn:lsid:marinespecies.org:taxname:388470"
"32",123,NA,"ciliate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other than diatoms dinoflagellates or haptophytes",NA,FALSE,FALSE,FALSE,NA,NA,NA,"","","","",NA,"",NA,"","Spirotrichea","urn:lsid:marinespecies.org:taxname:1348"
"33",107,54,"Ciliate mix",1348,NA,NA,NA,NA,NA,NA,"1348",NA,NA,"other than diatoms dinoflagellates or haptophytes",-6666,FALSE,FALSE,FALSE,"Sosik-specific",NA,NA,"","","","",NA,"",NA,"","Spirotrichea","urn:lsid:marinespecies.org:taxname:1348"
"34",63,77,"Cochlodinium",109474,"Cochlodinium","genus","Cochlodinium","Dinoflagellata",146203,"World Register of Marine Species","109474","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109474,"exact","urn:lsid:marinespecies.org:taxname:109474","Cochlodinium","accepted",109474,"Cochlodinium",TRUE,"accepted","Cochlodinium","urn:lsid:marinespecies.org:taxname:109474"
"35",4,4,"Corethron hystrix",179596,"Corethron hystrix","species","Corethron hystrix","Bacillariophyceae",148899,"World Register of Marine Species","179596","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,179596,"exact","urn:lsid:marinespecies.org:taxname:179596","Corethron hystrix","uncertain",179596,"Corethron hystrix",TRUE,"uncertain","Corethron hystrix","urn:lsid:marinespecies.org:taxname:179596"
"36",78,26,"Corymbellus",162518,"Corymbellus","genus","Corymbellus","Haptophyta",369190,"World Register of Marine Species","162518","worrms","species","Haptophyta",369190,TRUE,TRUE,TRUE,NA,NA,162518,"exact","urn:lsid:marinespecies.org:taxname:162518","Corymbellus","accepted",162518,"Corymbellus",TRUE,"accepted","Corymbellus","urn:lsid:marinespecies.org:taxname:162518"
"37",38,42,"Coscinodiscus",148917,"Coscinodiscus","genus","Coscinodiscus","Bacillariophyceae",148899,"World Register of Marine Species","148917","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,148917,"exact","urn:lsid:marinespecies.org:taxname:148917","Coscinodiscus","accepted",148917,"Coscinodiscus",TRUE,"accepted","Coscinodiscus","urn:lsid:marinespecies.org:taxname:148917"
"38",25,27,"cryptophyta",17638,"Cryptophyta","phylum","Cryptophyta","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","17638","worrms","phylum","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,17638,"exact","urn:lsid:marinespecies.org:taxname:17638","Cryptophyta","accepted",17638,"Cryptophyta",TRUE,"accepted","Cryptophyta","urn:lsid:marinespecies.org:taxname:17638"
"39",5,5,"Cylindrotheca",149003,"Cylindrotheca","genus","Cylindrotheca","Bacillariophyceae",148899,"World Register of Marine Species","149003","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149003,"exact","urn:lsid:marinespecies.org:taxname:149003","Cylindrotheca","accepted",149003,"Cylindrotheca",TRUE,"accepted","Cylindrotheca","urn:lsid:marinespecies.org:taxname:149003"
"40",7,7,"Dactyliosolen blavyanus",179786,"Dactyliosolen blavyanus","species","Dactyliosolen blavyanus","Bacillariophyceae",148899,"World Register of Marine Species","179786","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,179786,"exact","urn:lsid:marinespecies.org:taxname:179786","Dactyliosolen blavyanus","alternate representation",975336,"Guinardia blavyana var. blavyana",FALSE,"alternate representation","Dactyliosolen blavyanus","urn:lsid:marinespecies.org:taxname:179786"
"41",6,6,"Dactyliosolen fragilissimus",149310,"Dactyliosolen fragilissimus","species","Dactyliosolen fragilissimus","Bacillariophyceae",148899,"World Register of Marine Species","149310","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149310,"exact","urn:lsid:marinespecies.org:taxname:149310","Dactyliosolen fragilissimus","alternate representation",985165,"Rhizosolenia fragilissima f. fragilissima",FALSE,"alternate representation","Dactyliosolen fragilissimus","urn:lsid:marinespecies.org:taxname:149310"
"42",47,52,"Delphineis",149179,"Delphineis","genus","Delphineis","Bacillariophyceae",148899,"World Register of Marine Species","149179","worrms","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149179,"exact","urn:lsid:marinespecies.org:taxname:149179","Delphineis","accepted",149179,"Delphineis",TRUE,"accepted","Delphineis","urn:lsid:marinespecies.org:taxname:149179"
"43",23,23,"detritus",NA,NA,NA,NA,NA,NA,NA,"-999999",NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,"OCB","detritus",NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
"44",8,8,"Dictyocha",157258,"Dictyocha","genus","Dictyocha","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","157258","worrms","species","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,157258,"exact","urn:lsid:marinespecies.org:taxname:157258","Dictyocha","accepted",157258,"Dictyocha",TRUE,"accepted","Dictyocha","urn:lsid:marinespecies.org:taxname:157258"
"45",82,55,"Didinium",341301,"Didinium","genus","Didinium","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","341301","worrms","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,341301,"exact","urn:lsid:marinespecies.org:taxname:341301","Didinium","accepted",341301,"Didinium",TRUE,"accepted","Didinium","urn:lsid:marinespecies.org:taxname:341301"
"46",9,9,"Dinobryon",157240,"Dinobryon","genus","Dinobryon","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","157240","worrms","species","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,157240,"exact","urn:lsid:marinespecies.org:taxname:157240","Dinobryon","accepted",157240,"Dinobryon",TRUE,"accepted","Dinobryon","urn:lsid:marinespecies.org:taxname:157240"
"47",79,108,"Dinophyceae",19542,"Dinophyceae","class","Dinophyceae","Dinoflagellata",146203,"World Register of Marine Species","19542","worrms","class","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,19542,"exact","urn:lsid:marinespecies.org:taxname:19542","Dinophyceae","accepted",19542,"Dinophyceae",TRUE,"accepted","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542"
"48",26,28,"Dinophysis",109462,"Dinophysis","genus","Dinophysis","Dinoflagellata",146203,"World Register of Marine Species","109462","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109462,"exact","urn:lsid:marinespecies.org:taxname:109462","Dinophysis","accepted",109462,"Dinophysis",TRUE,"accepted","Dinophysis","urn:lsid:marinespecies.org:taxname:109462"
"49",10,10,"Ditylum brightwellii",149023,"Ditylum brightwellii","species","Ditylum brightwellii","Bacillariophyceae",148899,"World Register of Marine Species","149023","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149023,"exact","urn:lsid:marinespecies.org:taxname:149023","Ditylum brightwellii","uncertain",149023,"Ditylum brightwellii",TRUE,"uncertain","Ditylum brightwellii","urn:lsid:marinespecies.org:taxname:149023"
"50",65,79,"Emiliania huxleyi",115104,"Emiliania huxleyi","species","Emiliania huxleyi","Haptophyta",369190,"World Register of Marine Species","115104","worrms","species","Haptophyta",369190,TRUE,TRUE,TRUE,"NCBI","Emiliania huxleyi",115104,"exact","urn:lsid:marinespecies.org:taxname:115104","Emiliania huxleyi","accepted",115104,"Emiliania huxleyi",TRUE,"accepted","Emiliania huxleyi","urn:lsid:marinespecies.org:taxname:115104"
"51",11,11,"Ephemera",291403,"Ephemera","genus","Ephemera","Bacillariophyceae",148899,"World Register of Marine Species","291403","taxize","genus","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,291403,"exact","urn:lsid:marinespecies.org:taxname:291403","Ephemera","accepted",291403,"Ephemera",TRUE,"accepted","Ephemera","urn:lsid:marinespecies.org:taxname:291403"
"52",12,12,"Eucampia cornuta",248058,"Eucampia cornuta","species","Eucampia cornuta","Bacillariophyceae",148899,"World Register of Marine Species","248058","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,248058,"exact","urn:lsid:marinespecies.org:taxname:248058","Eucampia cornuta","alternate representation",1324082,"Neomoelleria cornuta",FALSE,"alternate representation","Eucampia cornuta","urn:lsid:marinespecies.org:taxname:248058"
"53",27,29,"Euglena",8012,"Euglena","genus","Euglena","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","8012","worrms","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,8012,"exact","urn:lsid:marinespecies.org:taxname:8012","Euglena","accepted",8012,"Euglena",TRUE,"accepted","Euglena","urn:lsid:marinespecies.org:taxname:8012"
"54",49,56,"Euplotes sp",NA,"Euplotes",NA,NA,NA,NA,"World Register of Marine Species","179326","worrms","genus","other than diatoms dinoflagellates or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA,179326,"exact","urn:lsid:marinespecies.org:taxname:179326","Euplotes","accepted",179326,"Euplotes",TRUE,"accepted","Euplotes","urn:lsid:marinespecies.org:taxname:179326"
"55",93,100,"Eutintinnus",183543,"Eutintinnus","genus","Eutintinnus","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","183543","worrms","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,183543,"exact","urn:lsid:marinespecies.org:taxname:183543","Eutintinnus","accepted",183543,"Eutintinnus",TRUE,"accepted","Eutintinnus","urn:lsid:marinespecies.org:taxname:183543"
"56",94,101,"Favella",172431,"Favella","genus","Favella","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","172431","taxize","genus","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,581996,"exact","urn:lsid:marinespecies.org:taxname:581996","Favella","accepted",581996,"Favella",FALSE,"accepted","Favella","urn:lsid:marinespecies.org:taxname:172431"
"57",128,NA,"fecal pellet",NA,NA,NA,NA,NA,NA,NA,"-999999",NA,NA,"NotApplicable",NA,FALSE,FALSE,FALSE,"OCB","fecal pellet",NA,"","","","",NA,"",NA,"","NotApplicable","NotApplicable"
"58",28,30,"flagellate",NA,NA,NA,NA,NA,NA,NA,"urn:lsid:algaebase.org:taxname:86701",NA,NA,"other than diatoms dinoflagellates or haptophytes",-6666,FALSE,FALSE,FALSE,"AlgaeBase","Eukaryota",NA,"","","","",NA,"",NA,"","Eukaryota","urn:lsid:algaebase.org:taxname:86701"
"59",126,NA,"flagellate morphotype3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other than diatoms dinoflagellates or haptophytes",NA,FALSE,FALSE,FALSE,NA,NA,NA,"","","","",NA,"",NA,"","Eukaryota","urn:lsid:algaebase.org:taxname:86701"
"60",72,88,"flagellate sp1",NA,NA,NA,NA,NA,NA,NA,"urn:lsid:algaebase.org:taxname:86701",NA,NA,"other than diatoms dinoflagellates or haptophytes",-6666,FALSE,FALSE,FALSE,"AlgaeBase","Eukaryota",NA,"","","","",NA,"",NA,"","Eukaryota","urn:lsid:algaebase.org:taxname:86701"
"61",73,90,"flagellate sp3",NA,NA,NA,NA,NA,NA,NA,"urn:lsid:algaebase.org:taxname:86701",NA,NA,"other than diatoms dinoflagellates or haptophytes",-6666,FALSE,FALSE,FALSE,"AlgaeBase","Eukaryota",NA,"","","","",NA,"",NA,"","Eukaryota","urn:lsid:algaebase.org:taxname:86701"
"62",39,43,"Gonyaulax",109519,"Gonyaulax","genus","Gonyaulax","Dinoflagellata",146203,"World Register of Marine Species","109519","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109519,"exact","urn:lsid:marinespecies.org:taxname:109519","Gonyaulax","accepted",109519,"Gonyaulax",TRUE,"accepted","Gonyaulax","urn:lsid:marinespecies.org:taxname:109519"
"63",13,13,"Guinardia delicatula",149112,"Guinardia delicatula","species","Guinardia delicatula","Bacillariophyceae",148899,"World Register of Marine Species","149112","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149112,"exact","urn:lsid:marinespecies.org:taxname:149112","Guinardia delicatula","alternate representation",149114,"Rhizosolenia delicatula",FALSE,"alternate representation","Guinardia delicatula","urn:lsid:marinespecies.org:taxname:149112"
"64",14,14,"Guinardia flaccida",149132,"Guinardia flaccida","species","Guinardia flaccida","Bacillariophyceae",148899,"World Register of Marine Species","149132","worrms","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,149132,"exact","urn:lsid:marinespecies.org:taxname:149132","Guinardia flaccida","alternate representation",160530,"Rhizosolenia flaccida",FALSE,"alternate representation","Guinardia flaccida","urn:lsid:marinespecies.org:taxname:149132"
"65",41,45,"Guinardia striata",149113,"Guinardia striata","species","Guinardia striata","Bacillariophyceae",148899,"World Register of Marine Species","149113","taxize","species","Bacillariophyceae",148899,TRUE,TRUE,TRUE,NA,NA,967041,"exact","urn:lsid:marinespecies.org:taxname:967041","Guinardia striata","uncertain",967041,"Guinardia striata",FALSE,"uncertain","Guinardia striata","urn:lsid:marinespecies.org:taxname:149113"
"66",29,31,"Gyrodinium",109476,"Gyrodinium","genus","Gyrodinium","Dinoflagellata",146203,"World Register of Marine Species","109476","worrms","genus","Dinoflagellata",146203,TRUE,TRUE,TRUE,NA,NA,109476,"exact","urn:lsid:marinespecies.org:taxname:109476","Gyrodinium","accepted",109476,"Gyrodinium",TRUE,"accepted","Gyrodinium","urn:lsid:marinespecies.org:taxname:109476"
"67",95,102,"Helicostomella subulata",240437,"Helicostomella subulata","species","Helicostomella subulata","other than diatoms,dinoflagellates,or haptophytes",-6666,"World Register of Marine Species","240437","worrms","species","other than diatoms dinoflagellates or haptophytes",-6666,TRUE,TRUE,TRUE,NA,NA,240437,"exact","urn:lsid:marinespecies.org:taxname:240437","Helicostomella subulata","accepted",240437,"Helicostomella subulata",TRUE,"accepted","Helicostomella subulata","urn:lsid:marinespecies.org:taxname:240437"
"68",43,48,"Hemiaulus",-999,"Hemiaulus",NA,NA,NA,NA,"World Register of Marine Species","956056","taxize","genus","Bacillariophyceae",148899,FALSE,FALSE,FALSE,NA,NA,163248,"exact","urn:lsid:marinespecies.org:taxname:163248","Hemiaulus","accepted",163248,"Hemiaulus",FALSE,"accepted","Hemiaulus","urn:lsid:marinespecies.org:taxname:163248"
"69",66,80,"Heterocapsa rotundata",110152,"Heterocapsa rotundata","species","Heterocapsa rotundata","Dinoflagellata",146203,"World Register of Marine Species","110152","worrms","species","Dinoflagellata",146203,TRUE,TRUE,TRUE,"NCBI","Heterocapsa rotundata",110152,"exact","urn:lsid:marinespecies.org:taxname:110152","Heterocapsa rotundata","accepted",110152,"Heterocapsa rotundata",TRUE,"accepted","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542"
