"","sample_identifier","volume_imaged","name","Abundance","use_id","use_taxon_level","use_higher_rank","gps_furuno_latitude","gps_furuno_longitude"
"49","D20180202T024651_IFCB102",4.06356522083333,"Ceratium",1,109506,"genus","Dinoflagellate",40.3594,-70.8754
"50","D20180202T115422_IFCB102",3.89298317083333,"Ceratium",1,109506,"genus","Dinoflagellate",40.3215,-70.8931
"51","D20180202T121710_IFCB102",3.9170456,"Ceratium",1,109506,"genus","Dinoflagellate",40.3021,-70.8892
"52","D20180202T130248_IFCB102",3.76502869166667,"Ceratium",3,109506,"genus","Dinoflagellate",40.2617,-70.8828
"53","D20180202T134826_IFCB102",3.57128686666667,"Ceratium",2,109506,"genus","Dinoflagellate",40.2217,-70.8737
"54","D20180202T141115_IFCB102",3.54611527083333,"Ceratium",2,109506,"genus","Dinoflagellate",40.2193,-70.88
"55","D20180202T143403_IFCB102",3.55167065416667,"Ceratium",1,109506,"genus","Dinoflagellate",40.2172,-70.8862
"56","D20180202T145652_IFCB102",3.51264455833333,"Ceratium",1,109506,"genus","Dinoflagellate",40.2159,-70.8906
"57","D20180202T173634_IFCB102",3.54809890416667,"Ceratium",1,109506,"genus","Dinoflagellate",40.1847,-70.8603
"58","D20180202T210154_IFCB102",3.34616410833333,"Ceratium",3,109506,"genus","Dinoflagellate",40.1106,-70.8616
"59","D20180202T212443_IFCB102",3.35974729583333,"Ceratium",1,109506,"genus","Dinoflagellate",40.0995,-70.8828
"60","D20180202T214732_IFCB102",3.35293694583333,"Ceratium",3,109506,"genus","Dinoflagellate",40.0865,-70.8758
"61","D20180203T073635_IFCB102",3.5137648625,"Ceratium",2,109506,"genus","Dinoflagellate",40.0906,-70.895
"62","D20180203T075856_IFCB102",3.50503338333333,"Ceratium",1,109506,"genus","Dinoflagellate",40.0604,-70.8861
"63","D20180203T082118_IFCB102",3.6221157875,"Ceratium",1,109506,"genus","Dinoflagellate",40.029,-70.8855
"64","D20180203T090601_IFCB102",3.52427943333333,"Ceratium",1,109506,"genus","Dinoflagellate",39.9621,-70.8828
"65","D20180203T092822_IFCB102",3.6088801625,"Ceratium",3,109506,"genus","Dinoflagellate",39.9408,-70.8806
"66","D20180203T101305_IFCB102",3.5719974125,"Ceratium",2,109506,"genus","Dinoflagellate",39.8606,-70.8755
"67","D20180203T105748_IFCB102",3.59150475833333,"Ceratium",3,109506,"genus","Dinoflagellate",39.7801,-70.8695
"68","D20180203T131156_IFCB102",3.99397165416667,"Ceratium",1,109506,"genus","Dinoflagellate",39.7702,-70.6809
"69","D20180203T141900_IFCB102",3.64952740416667,"Ceratium",1,109506,"genus","Dinoflagellate",39.7785,-70.865
"70","D20180203T174012_IFCB102",3.43624390416667,"Ceratium",1,109506,"genus","Dinoflagellate",39.7696,-70.8855
"71","D20180203T182455_IFCB102",3.43319251666667,"Ceratium",1,109506,"genus","Dinoflagellate",39.7621,-70.8899
"72","D20180203T190938_IFCB102",3.36366889166667,"Ceratium",1,109506,"genus","Dinoflagellate",39.7549,-70.8882
"73","D20180203T193159_IFCB102",3.388847575,"Ceratium",2,109506,"genus","Dinoflagellate",39.7719,-70.8761
"74","D20180204T012943_IFCB102",3.3047651625,"Ceratium",1,109506,"genus","Dinoflagellate",40.0241,-70.8977
"75","D20180204T015204_IFCB102",3.44479954166667,"Ceratium",2,109506,"genus","Dinoflagellate",40.0556,-70.8896
"76","D20180204T021426_IFCB102",3.49946875833333,"Ceratium",1,109506,"genus","Dinoflagellate",40.085,-70.8809
"77","D20180204T042834_IFCB102",3.59560605,"Ceratium",1,109506,"genus","Dinoflagellate",40.0832,-70.8579
"78","D20180204T045055_IFCB102",3.6385875125,"Ceratium",1,109506,"genus","Dinoflagellate",40.1216,-70.8654
"79","D20180204T051317_IFCB102",3.78930787083333,"Ceratium",2,109506,"genus","Dinoflagellate",40.1764,-70.8716
"80","D20180204T070503_IFCB102",3.74023883333333,"Ceratium",2,109506,"genus","Dinoflagellate",40.2178,-70.8511
"81","D20180204T104837_IFCB102",4.06318784166667,"Ceratium",2,109506,"genus","Dinoflagellate",40.5291,-70.8844
"82","D20180204T121802_IFCB102",3.9345249375,"Ceratium",1,109506,"genus","Dinoflagellate",40.6886,-70.8836
"83","D20180204T162356_IFCB102",4.3277898875,"Ceratium",1,109506,"genus","Dinoflagellate",40.9953,-70.8801
"84","D20180131T180620_IFCB109",4.19464714583333,"Chaetoceros",39,148985,"genus","Diatom",41.1975,-70.8792
"85","D20180131T182933_IFCB109",1.6548032125,"Chaetoceros",21,148985,"genus","Diatom",41.1924,-70.8756
"86","D20180131T184315_IFCB109",4.27172664583333,"Chaetoceros",36,148985,"genus","Diatom",41.1987,-70.8848
"87","D20180131T190627_IFCB109",2.73107427083333,"Chaetoceros",24,148985,"genus","Diatom",41.1972,-70.8812
"88","D20180131T201102_IFCB109",2.92914966666667,"Chaetoceros",31,148985,"genus","Diatom",41.197,-70.885
"89","D20180131T202832_IFCB109",4.1607151875,"Chaetoceros",38,148985,"genus","Diatom",41.1979,-70.8837
"90","D20180131T205153_IFCB109",4.195555675,"Chaetoceros",41,148985,"genus","Diatom",41.1921,-70.883
"91","D20180131T211514_IFCB109",4.144428075,"Chaetoceros",43,148985,"genus","Diatom",41.1987,-70.8814
"92","D20180131T213836_IFCB109",4.15178905416667,"Chaetoceros",46,148985,"genus","Diatom",41.197,-70.8937
"93","D20180201T103729_IFCB102",3.99101885416667,"Chaetoceros",1,148985,"genus","Diatom",40.8413,-70.8868
"94","D20180201T112345_IFCB102",4.021843225,"Chaetoceros",2,148985,"genus","Diatom",40.7681,-70.8797
"95","D20180201T163055_IFCB102",4.04907246666667,"Chaetoceros",1,148985,"genus","Diatom",40.6942,-70.9884
"96","D20180201T173922_IFCB102",4.03147925416667,"Chaetoceros",1,148985,"genus","Diatom",40.6896,-71.0948
"97","D20180201T180211_IFCB102",3.9707128625,"Chaetoceros",1,148985,"genus","Diatom",40.6871,-71.0668
"98","D20180201T182459_IFCB102",4.16185925833333,"Chaetoceros",1,148985,"genus","Diatom",40.6932,-70.9987
"99","D20180201T191037_IFCB102",4.242025075,"Chaetoceros",1,148985,"genus","Diatom",40.6987,-70.8862
"100","D20180201T195614_IFCB102",4.2515781625,"Chaetoceros",1,148985,"genus","Diatom",40.6871,-70.8833
"101","D20180201T201903_IFCB102",4.19167631666667,"Chaetoceros",1,148985,"genus","Diatom",40.6784,-70.8812
"102","D20180201T204151_IFCB102",4.26345694166667,"Chaetoceros",1,148985,"genus","Diatom",40.673,-70.885
"103","D20180201T210440_IFCB102",4.34358725,"Chaetoceros",1,148985,"genus","Diatom",40.6653,-70.8921
"104","D20180201T215017_IFCB102",4.16633765416667,"Chaetoceros",3,148985,"genus","Diatom",40.6352,-70.8973
"105","D20180201T223555_IFCB102",3.83008190416667,"Chaetoceros",3,148985,"genus","Diatom",40.5431,-70.8855
"106","D20180201T225844_IFCB102",3.74634749583333,"Chaetoceros",6,148985,"genus","Diatom",40.5294,-70.8858
"107","D20180201T232132_IFCB102",3.71929327916667,"Chaetoceros",6,148985,"genus","Diatom",40.5265,-70.8907
"108","D20180201T234421_IFCB102",3.78156844166667,"Chaetoceros",4,148985,"genus","Diatom",40.5227,-70.8958
"109","D20180202T000710_IFCB102",3.81870549583333,"Chaetoceros",7,148985,"genus","Diatom",40.5193,-70.8996
"110","D20180202T005247_IFCB102",3.82806895833333,"Chaetoceros",11,148985,"genus","Diatom",40.5289,-70.8836
"111","D20180202T011536_IFCB102",3.89608572916667,"Chaetoceros",5,148985,"genus","Diatom",40.5261,-70.8855
"112","D20180202T013825_IFCB102",3.94887341666667,"Chaetoceros",9,148985,"genus","Diatom",40.5226,-70.8885
"113","D20180202T022403_IFCB102",4.08414170833333,"Chaetoceros",2,148985,"genus","Diatom",40.4144,-70.8819
"114","D20180202T024651_IFCB102",4.06356522083333,"Chaetoceros",3,148985,"genus","Diatom",40.3594,-70.8754
"115","D20180202T091440_IFCB102",4.07661592916667,"Chaetoceros",3,148985,"genus","Diatom",40.359,-70.8799
"116","D20180202T093729_IFCB102",4.0744867375,"Chaetoceros",4,148985,"genus","Diatom",40.3556,-70.8797
"117","D20180202T100018_IFCB102",4.06955295,"Chaetoceros",6,148985,"genus","Diatom",40.3526,-70.8805
"118","D20180202T102306_IFCB102",4.0053288875,"Chaetoceros",3,148985,"genus","Diatom",40.3486,-70.8798
"119","D20180202T104555_IFCB102",4.06256842083333,"Chaetoceros",4,148985,"genus","Diatom",40.3505,-70.8821
"120","D20180202T110844_IFCB102",4.01638262916667,"Chaetoceros",3,148985,"genus","Diatom",40.3517,-70.8931
"121","D20180202T113133_IFCB102",3.84726926666667,"Chaetoceros",6,148985,"genus","Diatom",40.3406,-70.8977
"122","D20180202T115422_IFCB102",3.89298317083333,"Chaetoceros",4,148985,"genus","Diatom",40.3215,-70.8931
"123","D20180202T121710_IFCB102",3.9170456,"Chaetoceros",2,148985,"genus","Diatom",40.3021,-70.8892
"124","D20180202T123959_IFCB102",3.91305275,"Chaetoceros",3,148985,"genus","Diatom",40.2826,-70.8863
"125","D20180202T130248_IFCB102",3.76502869166667,"Chaetoceros",4,148985,"genus","Diatom",40.2617,-70.8828
"126","D20180202T132537_IFCB102",3.65955532916667,"Chaetoceros",2,148985,"genus","Diatom",40.2397,-70.8796
"127","D20180202T134826_IFCB102",3.57128686666667,"Chaetoceros",3,148985,"genus","Diatom",40.2217,-70.8737
"128","D20180202T141115_IFCB102",3.54611527083333,"Chaetoceros",1,148985,"genus","Diatom",40.2193,-70.88
"129","D20180202T143403_IFCB102",3.55167065416667,"Chaetoceros",2,148985,"genus","Diatom",40.2172,-70.8862
"130","D20180202T145652_IFCB102",3.51264455833333,"Chaetoceros",2,148985,"genus","Diatom",40.2159,-70.8906
"131","D20180202T151941_IFCB102",3.51807336666667,"Chaetoceros",4,148985,"genus","Diatom",40.2146,-70.8952
"132","D20180202T171345_IFCB102",3.52460061666667,"Chaetoceros",2,148985,"genus","Diatom",40.2056,-70.8949
"133","D20180202T173634_IFCB102",3.54809890416667,"Chaetoceros",4,148985,"genus","Diatom",40.1847,-70.8603
"134","D20180202T210154_IFCB102",3.34616410833333,"Chaetoceros",3,148985,"genus","Diatom",40.1106,-70.8616
"135","D20180202T212443_IFCB102",3.35974729583333,"Chaetoceros",3,148985,"genus","Diatom",40.0995,-70.8828
"136","D20180202T214732_IFCB102",3.35293694583333,"Chaetoceros",3,148985,"genus","Diatom",40.0865,-70.8758
"137","D20180203T024407_IFCB102",3.69132605416667,"Chaetoceros",4,148985,"genus","Diatom",40.1018,-70.8864
"138","D20180203T073635_IFCB102",3.5137648625,"Chaetoceros",1,148985,"genus","Diatom",40.0906,-70.895
"139","D20180203T075856_IFCB102",3.50503338333333,"Chaetoceros",3,148985,"genus","Diatom",40.0604,-70.8861
"140","D20180203T082118_IFCB102",3.6221157875,"Chaetoceros",1,148985,"genus","Diatom",40.029,-70.8855
"141","D20180203T084339_IFCB102",3.49342852083333,"Chaetoceros",2,148985,"genus","Diatom",39.9953,-70.8838
"142","D20180203T090601_IFCB102",3.52427943333333,"Chaetoceros",1,148985,"genus","Diatom",39.9621,-70.8828
"143","D20180203T092822_IFCB102",3.6088801625,"Chaetoceros",1,148985,"genus","Diatom",39.9408,-70.8806
"144","D20180203T101305_IFCB102",3.5719974125,"Chaetoceros",4,148985,"genus","Diatom",39.8606,-70.8755
"145","D20180203T105748_IFCB102",3.59150475833333,"Chaetoceros",2,148985,"genus","Diatom",39.7801,-70.8695
"146","D20180203T112009_IFCB102",3.73448592083333,"Chaetoceros",3,148985,"genus","Diatom",39.7774,-70.8144
"147","D20180203T122713_IFCB102",3.97697407916667,"Chaetoceros",1,148985,"genus","Diatom",39.7738,-70.669
"148","D20180203T124934_IFCB102",3.99825361666667,"Chaetoceros",2,148985,"genus","Diatom",39.7723,-70.6747
"149","D20180203T131156_IFCB102",3.99397165416667,"Chaetoceros",2,148985,"genus","Diatom",39.7702,-70.6809
"150","D20180203T135638_IFCB102",3.59562635416667,"Chaetoceros",2,148985,"genus","Diatom",39.7758,-70.7882
"151","D20180203T141900_IFCB102",3.64952740416667,"Chaetoceros",1,148985,"genus","Diatom",39.7785,-70.865
"152","D20180203T180234_IFCB102",3.42572386666667,"Chaetoceros",2,148985,"genus","Diatom",39.7656,-70.8876
"153","D20180203T182455_IFCB102",3.43319251666667,"Chaetoceros",2,148985,"genus","Diatom",39.7621,-70.8899
"154","D20180203T190938_IFCB102",3.36366889166667,"Chaetoceros",2,148985,"genus","Diatom",39.7549,-70.8882
"155","D20180203T193159_IFCB102",3.388847575,"Chaetoceros",2,148985,"genus","Diatom",39.7719,-70.8761
"156","D20180203T195421_IFCB102",3.38127802916667,"Chaetoceros",3,148985,"genus","Diatom",39.812,-70.8549
"157","D20180203T223051_IFCB102",3.43652149166667,"Chaetoceros",2,148985,"genus","Diatom",39.9331,-70.8868
"158","D20180203T231534_IFCB102",3.45249735833333,"Chaetoceros",1,148985,"genus","Diatom",39.9249,-70.8863
"159","D20180203T233756_IFCB102",3.49892975,"Chaetoceros",1,148985,"genus","Diatom",39.9195,-70.8859
"160","D20180204T000017_IFCB102",3.54039444166667,"Chaetoceros",3,148985,"genus","Diatom",39.909,-70.8886
"161","D20180204T012943_IFCB102",3.3047651625,"Chaetoceros",1,148985,"genus","Diatom",40.0241,-70.8977
"162","D20180204T015204_IFCB102",3.44479954166667,"Chaetoceros",3,148985,"genus","Diatom",40.0556,-70.8896
"163","D20180204T021426_IFCB102",3.49946875833333,"Chaetoceros",1,148985,"genus","Diatom",40.085,-70.8809
"164","D20180204T023647_IFCB102",3.55377567916667,"Chaetoceros",3,148985,"genus","Diatom",40.0938,-70.8699
"165","D20180204T025908_IFCB102",3.567010925,"Chaetoceros",1,148985,"genus","Diatom",40.088,-70.8601
"166","D20180204T032130_IFCB102",3.5876386,"Chaetoceros",3,148985,"genus","Diatom",40.0839,-70.8547
"167","D20180204T045055_IFCB102",3.6385875125,"Chaetoceros",1,148985,"genus","Diatom",40.1216,-70.8654
"168","D20180204T051317_IFCB102",3.78930787083333,"Chaetoceros",1,148985,"genus","Diatom",40.1764,-70.8716
"169","D20180204T053538_IFCB102",3.83007345,"Chaetoceros",1,148985,"genus","Diatom",40.2219,-70.873
"170","D20180204T055759_IFCB102",3.81367555416667,"Chaetoceros",3,148985,"genus","Diatom",40.2166,-70.8631
"171","D20180204T062021_IFCB102",3.7847423875,"Chaetoceros",5,148985,"genus","Diatom",40.2085,-70.8629
"172","D20180204T064242_IFCB102",3.7755081,"Chaetoceros",3,148985,"genus","Diatom",40.2014,-70.8637
"173","D20180204T070503_IFCB102",3.74023883333333,"Chaetoceros",5,148985,"genus","Diatom",40.2178,-70.8511
"174","D20180204T102615_IFCB102",4.04795369583333,"Chaetoceros",2,148985,"genus","Diatom",40.5023,-70.8653
"175","D20180204T104837_IFCB102",4.06318784166667,"Chaetoceros",2,148985,"genus","Diatom",40.5291,-70.8844
"176","D20180204T111058_IFCB102",4.0618455125,"Chaetoceros",1,148985,"genus","Diatom",40.5258,-70.8823
"177","D20180204T113319_IFCB102",4.09081607916667,"Chaetoceros",6,148985,"genus","Diatom",40.5724,-70.8821
"178","D20180204T115540_IFCB102",4.107019975,"Chaetoceros",1,148985,"genus","Diatom",40.6315,-70.8823
"179","D20180204T121802_IFCB102",3.9345249375,"Chaetoceros",2,148985,"genus","Diatom",40.6886,-70.8836
"180","D20180204T124023_IFCB102",3.91480774583333,"Chaetoceros",1,148985,"genus","Diatom",40.6949,-70.8812
"181","D20180204T134727_IFCB102",4.0338559125,"Chaetoceros",1,148985,"genus","Diatom",40.8241,-70.8809
"182","D20180204T140948_IFCB102",4.03016445416667,"Chaetoceros",4,148985,"genus","Diatom",40.8627,-70.8828
"183","D20180204T143210_IFCB102",4.04261894166667,"Chaetoceros",4,148985,"genus","Diatom",40.8595,-70.8809
"184","D20180204T145431_IFCB102",4.0238949375,"Chaetoceros",7,148985,"genus","Diatom",40.8517,-70.8804
"185","D20180204T151652_IFCB102",4.06289185416667,"Chaetoceros",1,148985,"genus","Diatom",40.8759,-70.8815
"186","D20180204T153914_IFCB102",4.1381946625,"Chaetoceros",3,148985,"genus","Diatom",40.9322,-70.8821
"187","D20180204T160135_IFCB102",4.30181985833333,"Chaetoceros",9,148985,"genus","Diatom",40.9698,-70.8813
"188","D20180204T162356_IFCB102",4.3277898875,"Chaetoceros",9,148985,"genus","Diatom",40.9953,-70.8801
"189","D20180204T164617_IFCB102",4.2835282,"Chaetoceros",15,148985,"genus","Diatom",41.0178,-70.8808
"190","D20180204T170839_IFCB102",0.868225125,"Chaetoceros",7,148985,"genus","Diatom",41.0359,-70.8802
"191","D20180204T173600_IFCB102",4.24324062083333,"Chaetoceros",15,148985,"genus","Diatom",41.0326,-70.8815
"192","D20180204T175821_IFCB102",4.21860883333333,"Chaetoceros",17,148985,"genus","Diatom",41.0309,-70.8825
"193","D20180204T182042_IFCB102",4.0457675625,"Chaetoceros",12,148985,"genus","Diatom",41.0296,-70.881
"194","D20180204T184304_IFCB102",4.11246663333333,"Chaetoceros",11,148985,"genus","Diatom",41.0281,-70.8786
"195","D20180204T190525_IFCB102",4.121691125,"Chaetoceros",14,148985,"genus","Diatom",41.0193,-70.8769
"196","D20180204T192746_IFCB102",4.1373472125,"Chaetoceros",15,148985,"genus","Diatom",41.0215,-70.8811
"197","D20180204T195008_IFCB102",4.10384851666667,"Chaetoceros",15,148985,"genus","Diatom",41.075,-70.8819
"198","D20180204T201229_IFCB102",4.04670484166667,"Chaetoceros",13,148985,"genus","Diatom",41.1281,-70.8814
"199","D20180204T203450_IFCB102",4.12056120833333,"Chaetoceros",20,148985,"genus","Diatom",41.1827,-70.8832
"200","D20180204T205712_IFCB102",4.0233097,"Chaetoceros",21,148985,"genus","Diatom",41.1968,-70.8825
"201","D20180204T211933_IFCB102",4.077338025,"Chaetoceros",20,148985,"genus","Diatom",41.1977,-70.885
"202","D20180204T214154_IFCB102",4.093372025,"Chaetoceros",19,148985,"genus","Diatom",41.1887,-70.8523
"203","D20180205T042420_IFCB102",4.0569351125,"Chaetoceros",37,148985,"genus","Diatom",41.1899,-70.8816
"204","D20180131T180620_IFCB109",4.19464714583333,"Corethron hystrix",5,179596,"species","Diatom",41.1975,-70.8792
"205","D20180131T182933_IFCB109",1.6548032125,"Corethron hystrix",2,179596,"species","Diatom",41.1924,-70.8756
"206","D20180131T184315_IFCB109",4.27172664583333,"Corethron hystrix",3,179596,"species","Diatom",41.1987,-70.8848
"207","D20180131T190627_IFCB109",2.73107427083333,"Corethron hystrix",3,179596,"species","Diatom",41.1972,-70.8812
"208","D20180131T201102_IFCB109",2.92914966666667,"Corethron hystrix",1,179596,"species","Diatom",41.197,-70.885
"209","D20180131T202832_IFCB109",4.1607151875,"Corethron hystrix",4,179596,"species","Diatom",41.1979,-70.8837
"210","D20180131T205153_IFCB109",4.195555675,"Corethron hystrix",4,179596,"species","Diatom",41.1921,-70.883
"211","D20180131T211514_IFCB109",4.144428075,"Corethron hystrix",6,179596,"species","Diatom",41.1987,-70.8814
"212","D20180131T213836_IFCB109",4.15178905416667,"Corethron hystrix",4,179596,"species","Diatom",41.197,-70.8937
"213","D20180201T103729_IFCB102",3.99101885416667,"Corethron hystrix",2,179596,"species","Diatom",40.8413,-70.8868
"214","D20180201T110037_IFCB102",4.0412721,"Corethron hystrix",1,179596,"species","Diatom",40.8155,-70.8831
"215","D20180201T114755_IFCB102",4.12785991666667,"Corethron hystrix",4,179596,"species","Diatom",40.7175,-70.8785
"216","D20180201T163055_IFCB102",4.04907246666667,"Corethron hystrix",2,179596,"species","Diatom",40.6942,-70.9884
"217","D20180201T165344_IFCB102",4.03059722083333,"Corethron hystrix",1,179596,"species","Diatom",40.6958,-71.0478
"218","D20180201T173922_IFCB102",4.03147925416667,"Corethron hystrix",4,179596,"species","Diatom",40.6896,-71.0948
"219","D20180201T182459_IFCB102",4.16185925833333,"Corethron hystrix",2,179596,"species","Diatom",40.6932,-70.9987
"220","D20180201T184748_IFCB102",4.23652986666667,"Corethron hystrix",3,179596,"species","Diatom",40.6961,-70.9308
"221","D20180201T191037_IFCB102",4.242025075,"Corethron hystrix",4,179596,"species","Diatom",40.6987,-70.8862
"222","D20180201T193325_IFCB102",4.22867269166667,"Corethron hystrix",5,179596,"species","Diatom",40.6923,-70.8842
"223","D20180201T195614_IFCB102",4.2515781625,"Corethron hystrix",7,179596,"species","Diatom",40.6871,-70.8833
"224","D20180201T201903_IFCB102",4.19167631666667,"Corethron hystrix",3,179596,"species","Diatom",40.6784,-70.8812
"225","D20180201T204151_IFCB102",4.26345694166667,"Corethron hystrix",3,179596,"species","Diatom",40.673,-70.885
"226","D20180201T212729_IFCB102",4.2316007125,"Corethron hystrix",3,179596,"species","Diatom",40.6584,-70.896
"227","D20180201T215017_IFCB102",4.16633765416667,"Corethron hystrix",7,179596,"species","Diatom",40.6352,-70.8973
"228","D20180201T221306_IFCB102",4.00078299166667,"Corethron hystrix",4,179596,"species","Diatom",40.5879,-70.8945
"229","D20180201T223555_IFCB102",3.83008190416667,"Corethron hystrix",5,179596,"species","Diatom",40.5431,-70.8855
"230","D20180201T225844_IFCB102",3.74634749583333,"Corethron hystrix",4,179596,"species","Diatom",40.5294,-70.8858
"231","D20180201T232132_IFCB102",3.71929327916667,"Corethron hystrix",3,179596,"species","Diatom",40.5265,-70.8907
"232","D20180201T234421_IFCB102",3.78156844166667,"Corethron hystrix",6,179596,"species","Diatom",40.5227,-70.8958
"233","D20180202T000710_IFCB102",3.81870549583333,"Corethron hystrix",3,179596,"species","Diatom",40.5193,-70.8996
