Unnamed: 0,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
41,Tintinnida,,Tintinnida,,,,,World Register of Marine Species,425497.0,order,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
42,Guinardia striata,,Guinardia striata,,,,,World Register of Marine Species,149113.0,species,Bacillariophyceae,148899.0,False,False,False,,
43,Heterocapsa rotundata,,Heterocapsa rotundata,,,,,World Register of Marine Species,110152.0,species,Dinoflagellata,146203.0,False,False,False,NCBI,Heterocapsa rotundata
44,Coscinodiscus,,Coscinodiscus,,,,,World Register of Marine Species,148917.0,genus,Bacillariophyceae,148899.0,False,False,False,,
45,Asterionellopsis glacialis,,Asterionellopsis glacialis,,,,,World Register of Marine Species,149139.0,species,Bacillariophyceae,148899.0,False,False,False,,
46,bubble,,,,,,,,,,,,False,False,False,OCB,bubble
47,Laboea strobila,,Laboea strobila,,,,,World Register of Marine Species,101264.0,species,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
48,Stenosemella sp1,,Stenosemella,,,,,World Register of Marine Species,178825.0,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
49,Protoperidinium,,Protoperidinium,,,,,World Register of Marine Species,109553.0,genus,Dinoflagellata,146203.0,False,False,False,,
50,flagellate sp3,,,,,,,,,,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,NCBI,Eukaryota
51,Emiliania huxleyi,,Emiliania huxleyi,,,,,World Register of Marine Species,115104.0,species,Haptophyta,369190.0,False,False,False,NCBI,Emiliania huxleyi
52,Stephanopyxis,,Stephanopyxis,,,,,World Register of Marine Species,149630.0,genus,Bacillariophyceae,148899.0,False,False,False,,
53,Bacteriastrum,,Bacteriastrum,,,,,World Register of Marine Species,149118.0,genus,Bacillariophyceae,148899.0,False,False,False,,
54,Mesodinium,,Mesodinium,,,,,World Register of Marine Species,179320.0,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
55,Dinophysis,,Dinophysis,,,,,World Register of Marine Species,109462.0,genus,Dinoflagellata,146203.0,False,False,False,,
56,Leptocylindrus mediterraneus,,Leptocylindrus mediterraneus,,,,,World Register of Marine Species,149230.0,species,Bacillariophyceae,148899.0,False,False,False,,
57,Calciopappus,,Calciopappus,,,,,World Register of Marine Species,235924.0,species,Haptophyta,369190.0,False,False,False,,
58,square unknown,,,,,,,,,,,,False,False,False,,
59,Ophiaster,,Ophiaster,,,,,World Register of Marine Species,115081.0,genus,Haptophyta,369190.0,False,False,False,,
60,amoeba,,Amoeba,,,,,World Register of Marine Species,120533.0,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,False,False,False,,
61,Ephemera,,Ephemera,,,,,World Register of Marine Species,291403.0,genus,Bacillariophyceae,148899.0,False,False,False,,
62,Acanthoica quattrospina,,,species,Acanthoica quattrospina,Haptophyta,369190.0,World Register of Marine Species,235802.0,,,,False,False,False,,
63,Chaetoceros debilis,,Chaetoceros debilis,,,,,World Register of Marine Species,149219.0,species,Bacillariophyceae,148899.0,False,False,False,,
64,Lauderia annulata,,Lauderia annulata,,,,,World Register of Marine Species,149135.0,species,Bacillariophyceae,148899.0,False,False,False,,
65,zooplankton,2.0,,kingdom,Animalia,"other than diatoms, dinoflagellates, or haptophytes",-6666.0,World Register of Marine Species,,,,,False,False,False,,
66,Oxytoxum,,Oxytoxum,,,,,World Register of Marine Species,109528.0,genus,Dinoflagellata,146203.0,False,False,False,,
67,fecal pellet,,,,,,,,,,,,False,False,False,,
