"","name","international_id","resolved_names","taxon_level_fromid","taxon_name_fromid","higher_order_fromid","data_source","resolved_id_fromgnr","resolved_taxon_level_fromgnr","resolved_higher_order_fromgnr","name_match","id_match","higher_match","alt_datasource","alt_resolved_name"
"19","Guinardia",NA,"Guinardia",NA,NA,NA,"World Register of Marine Species","149111","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"20","Guinardia_flaccida",NA,"Guinardia flaccida",NA,NA,NA,"World Register of Marine Species","149132","species","Diatom",FALSE,FALSE,FALSE,NA,NA
"21","Guinardia_striata",NA,"Guinardia striata",NA,NA,NA,"World Register of Marine Species","149113","species","Diatom",FALSE,FALSE,FALSE,NA,NA
"22","Gyrodinium",NA,"Gyrodinium",NA,NA,NA,"World Register of Marine Species","109476","genus","Dinoflagellate",FALSE,FALSE,FALSE,NA,NA
"23","Hemiaulus",NA,"Hemiaulus",NA,NA,NA,"World Register of Marine Species","956056","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"24","Laboea",NA,"Laboea",NA,NA,NA,"World Register of Marine Species","101190","genus","other",FALSE,FALSE,FALSE,NA,NA
"25","Lauderia",NA,"Lauderia",NA,NA,NA,"World Register of Marine Species","149134","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"26","Leptocylindrus",NA,"Leptocylindrus",NA,NA,NA,"World Register of Marine Species","149038","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"27","Licmophora",NA,"Licmophora",NA,NA,NA,"World Register of Marine Species","149342","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"28","Myrionecta",NA,"Myrionecta",NA,NA,NA,"World Register of Marine Species","292895","genus","other",FALSE,FALSE,FALSE,NA,NA
"29","Odontella",NA,"Odontella",NA,NA,NA,"World Register of Marine Species","148963","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"30","Paralia",NA,"Paralia",NA,NA,NA,"World Register of Marine Species","149054","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"31","Phaeocystis",NA,"Phaeocystis",NA,NA,NA,"World Register of Marine Species","115088","genus","Haptophyte",FALSE,FALSE,FALSE,NA,NA
"32","Pleurosigma",NA,"Pleurosigma",NA,NA,NA,"World Register of Marine Species","149181","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"33","Prorocentrum",NA,"Prorocentrum",NA,NA,NA,"World Register of Marine Species","109566","genus","Dinoflagellate",FALSE,FALSE,FALSE,NA,NA
"34","Pseudonitzschia",NA,"Pseudonitzschia",NA,NA,NA,"World Register of Marine Species","717410","genus","other",FALSE,FALSE,FALSE,NA,NA
"35","Pyramimonas",NA,"Pyramimonas",NA,NA,NA,"World Register of Marine Species","134529","genus","other",FALSE,FALSE,FALSE,NA,NA
"36","Rhizosolenia",NA,"Rhizosolenia",NA,NA,NA,"World Register of Marine Species","149069","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"37","Skeletonema",NA,"Skeletonema",NA,NA,NA,"World Register of Marine Species","149073","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"38","Stephanopyxis",NA,"Stephanopyxis",NA,NA,NA,"World Register of Marine Species","149630","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"39","Thalassionema",NA,"Thalassionema",NA,NA,NA,"World Register of Marine Species","149092","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"40","Thalassiosira",NA,"Thalassiosira",NA,NA,NA,"World Register of Marine Species","148912","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"41","Thalassiosira_dirty",NA,"Thalassiosira",NA,NA,NA,"World Register of Marine Species","148912","genus","Diatom",FALSE,FALSE,FALSE,NA,NA
"42","bad",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"OCB","bad"
"43","ciliate_mix",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"44","clusterflagellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"45","detritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,"OCB","detritus"
"46","dino30",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"47","kiteflagellates",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"48","mix",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"49","mix_elongated",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"50","pennate",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
"51","tintinnid",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
